Category,Control,Mod
Security,OpenSearch domains node-to-node encryption should be enabled,AWS Well-Architected Framework
Security,OpenSearch domains should use HTTPS,AWS Well-Architected Framework
Security,CloudFront distributions should encrypt traffic to custom origins,AWS Well-Architected Framework
Security,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,AWS Well-Architected Framework
Security,ELB listeners should use secure SSL cipher,AWS Well-Architected Framework
Security,S3 buckets should enforce SSL,AWS Well-Architected Framework
Security,Redshift cluster encryption in transit should be enabled,AWS Well-Architected Framework
Security,ELB classic load balancers should only use SSL or HTTPS listeners,AWS Well-Architected Framework
Security,VPC flow logs should be enabled,AWS Well-Architected Framework
Security,Ensure a support role has been created to manage incidents with AWS Support,AWS Well-Architected Framework
Security,ECR repositories should have image scan o,AWS Well-Architected Framework
